create mail merge documents using fields supported objects.	erstellen sie seriendruckdokumente mithilfe von objekten, die felder unterstützen.
post pinning isn’t available in compact feeds.	das verankern von posts ist in kompakten feeds nicht verfügbar.
to add a care team member:	hinzufügen eines pflegeteam-mitglieds:
the name used to refer to the role or title of position in any user interface pages, for example, western sales vp.	der name, der zur identifizierung der rolle oder des titels der position in seiten der benutzeroberfläche verwendet wird (z. b. "verkaufsleiter west").
each update detail page describes how your customizations might be affected and how you can correct any unintended functionality.	auf den einzelnen update-detailseiten wird beschrieben, wie ihre anpassungen betroffen sein können und wie sie etwaige unbeabsichtigte funktionen korrigieren können.
manage sales analytics permission set, for users who create and administer sales analytics.	berechtigungssatz sales analytics verwalten für benutzer, die sales analytics erstellen und verwalten.
to change or accept ownership of leads from a queue:	ändern oder akzeptieren der inhaberschaft von leads in einer warteschlange:
before loading dates from an external data file, ensure that you review the date format requirements here. also, ensure that the column names in the external data file do not conflict with the generated date field names. for example, if you load a csv with column create_date, analytics generates the create_date_year field in the dataset. if the csv also had a field named create_date_year, analytics would throw an error because the names conflict.	bevor sie datumswerte aus einer externen datendatei laden, lesen sie zuerst die hier beschriebenen anforderungen an das datumsformat. vergewissern sie sich außerdem, dass die spaltennamen in der externen datendatei nicht in konflikt mit den generierten datumsfeldnamen stehen. wenn sie beispielsweise eine csv-datei mit der spalte create_date laden, generiert analytics im datenset das feld create_date_year. wenn die csv-datei ebenfalls ein feld namens create_date_year enthält, gibt analytics einen fehler aus, da die namen in konflikt zueinander stehen.
checks if the record is a clone of another record and returns true if one item is a clone. otherwise, returns false.	überprüft, ob der datensatz ein duplikat eines anderen datensatzes ist, und gibt true zurück, wenn dies der fall ist. anderenfalls wird false zurückgegeben.
inserting merge fields in	einfügen von briefvorlagen in
cumulative line charts	kumulierte liniendiagramme
selectmatch	treffer auswählen
account team and opportunity team selling settings	einstellungen für accountteam- und opportunityteam-vertriebsarbeit
lightning:picklistpath (beta)	lightning:picklistpath (beta)
select the id and developername fields.	wählen sie die felder id und developername aus.
click the article management tab and select translations in the view area.	klicken sie auf die registerkarte artikelverwaltung und wählen sie im bereich "ansicht" übersetzungen aus.
lightning:path (beta)	lightning:path (beta)
from the navigation menu, go to the securities list view, and then select new.	rufen sie über das navigationsmenü die listenansicht "sicherheiten" auf und wählen sie neu.
geocode rules update your accounts, contacts, and leads with geocodes from the #url1# data service.	geocode-regeln aktualisieren ihre accounts, kontakte und leads mit geocodes aus dem #url1#-daten-service.
embed in salesforce pages	einbetten auf salesforce-seiten
customize the stored value for each option.	anpassen des gespeicherten werts für die einzelnen optionen.
adding actions to salesforce mobile app	hinzufügen von aktionen zur mobilen salesforce-anwendung
for the start ip address, enter a valid ip address. for the end ip address, enter the same or higher ip address.	geben sie für die "von ip-adresse" eine gültige ip-adresse ein. geben sie für die "bis ip-adresse" dieselbe oder eine höhere ip-adresse ein.
dynamic lightning pages	dynamische lightning-seiten
members engagement	mitgliederengagement
open most salesforce urls directly in salesforce	öffnen der meisten salesforce-urls direkt in salesforce
make sure buttons for new task, new event, log a call, and send an email (not send email) are added to the salesforce mobile and lightning experience actions section of the page layout.	stellen sie sicher, dass dem abschnitt "aktionen für salesforce mobile und lightning experience" des seitenlayouts die schaltflächen für neue aufgabe, neues ereignis, anruf protokollieren und eine e-mail senden (nicht "e-mail senden") hinzugefügt wurden.
deleting library permissions	löschen von bibliotheksberechtigungen
the following report types might expose data of users to whom a viewing user doesn’t have access.	die folgenden berichtstypen geben möglicherweise daten von benutzern preis, auf die anzeigende benutzer keinen zugriff haben.
this rule contains two key fields.	diese regel enthält zwei wichtige felder.
milestones are measured in minutes and seconds, but their start and end times are only accurate to the minute. for example, suppose a milestone is triggered at 11:10:40 a.m. and the time to complete the milestone is 10 minutes. in this case, the milestone target time is 11:20:00 am, not 11:20:40. as a result, the remaining time for the agent to complete the milestone is 9 minutes and 20 seconds, not the full 10 minutes.	meilensteine werden in minuten und sekunden gemessen, ihre start- und endzeiten werden jedoch nur minutengenau angegeben. angenommen, ein meilenstein wird beispielsweise um 11:10:40 uhr ausgelöst und die zeit zum abschließen des meilensteins beträgt 10 minuten. in diesem fall lautet die zielzeit des meilensteins 11:20:00 uhr und nicht 11:20:40 uhr. folglich beträgt die verbleibende zeit bis zum abschließen des meilensteins für den agenten 9 minuten und 20 sekunden und nicht die gesamten 10 minuten.
as you report on your data, be aware of these limits, limitations, and allocations.	beim erstellen von berichten für ihre daten sollten sie diese obergrenzen, einschränkungen und zuordnungen beachten.
approval processes determine how your organization handles draft email messages—specifying, for example, which messages require approval and whether approvers are automatically assigned. create customized approval processes based on your company’s needs.	mit genehmigungsprozessen wird festgelegt, wie ihre organisation mit e-mail-entwürfen umgeht. es kann also beispielsweise angegeben werden, welche nachrichten einer genehmigung bedürfen und ob die genehmiger automatisch zugewiesen werden. erstellen sie angepasste genehmigungsprozesse, die auf den bedürfnissen ihres unternehmens beruhen.
manage multiple currencies	verwalten mehrerer währungen
see pending work items for skills-based routing in the omni-channel supervisor backlog tab. the backlog tab is shown only if you have skills-based routing enabled in your org.	zeigen sie ausstehende arbeitselemente für die fertigkeitsbasierte weiterleitung auf der registerkarte "rückstand" des omnikanal-supervisors an. die registerkarte "rückstand" wird nur angezeigt, wenn die fertigkeitsbasierte weiterleitung in ihrer organisation aktiviert ist.
installed by	installiert von
master contract	mastervertrag
when we do and don’t automatically encrypt your data	ausführung und nicht-ausführung der automatischen verschlüsselung ihrer daten
terminal servers, such as citrix® servers. consider setting up lightning for outlook and lightning sync.	terminalserver wie citrix®-server erwägen sie die einrichtung von lightning für outlook und lightning sync.
trinidadtobago dollar: ttd	trinidad-und-tobago-dollar: ttd
click the name of its master action link group template.	klicken sie auf den namen ihrer master-aktionslinkgruppen-vorlage.
in the permission set assignments related list, click edit assignments.	klicken sie in der themenliste "berechtigungssätze" auf zuweisungen bearbeiten.
the navigation menu component is available in community builder for lightning communities.	die komponente "navigationsmenü" ist im community-generator für lightning-communities verfügbar.
swedish krona	schwedische krone
the identity provider must include an authenticationstatement in the assertion.	der identitätsanbieter muss ein authenticationstatement in die behauptung aufnehmen.
make sure einstein activity capture is enabled.	vergewissern sie sich, dass die einstein-aktivitätserfassung aktiviert ist.
associate your scorecard with a program, level, or partner account.	ordnen sie ihre scorecard einem programm, einer ebene oder einem partneraccount zu.
to update email templates	aktualisieren von e-mail-vorlagen
delegate user administration tasks to other users	delegieren von benutzerverwaltungsaufgaben an andere benutzer
account: ownership	account: inhaberschaft
if you schedule a report to run on a specific day of every month, the report runs only on months that have that specific day. for example, if you schedule a report to run on the 31st day of every month, then the report runs only on months that have 31 days. to schedule a report on the last day of every month, choose last from the on day of every month drop-down list.	wenn sie die ausführung eines berichts für einen bestimmten tag jedes monats geplant haben, wird der bericht nur in monaten ausgeführt, in denen der angegebene tag vorkommt. wenn sie eine berichtausführung z. b. für den 31. jeden monats geplant haben, wird der bericht nur in monaten ausgeführt, die 31 tage haben. wenn sie möchten, dass ein bericht am letzten tag eines jeden monats ausgeführt wird, wählen sie in der dropdownliste ein tag in jedem monat den eintrag "letzter" aus.
on the resources tab, double-click stage.	doppelklicken sie auf der registerkarte "ressourcen" auf phase.
enter a quantity and unit price for each order product.	geben sie eine menge und einen stückpreis für jedes auftragsprodukt ein.
click the user provisioning account value to see these details about the user’s account.	klicken sie auf den wert "benutzerbereitstellungsaccount", um die details zum account des benutzers anzuzeigen.
invite people to join your chatter network	laden sie personen dazu ein, ihrem chatter-netzwerk beizutreten
log a call actions create tasks, which aren’t available for external objects.	mit aktionen vom typ "anruf protokollieren" werden aufgaben erstellt, die für externe objekte nicht verfügbar sind.
new members’ posts (replaced with 2.0 version)	new members' posts (ersetzt durch version 2.0)
account (account)	account (account)
appointment list columns: use the appointment list columns field set to configure which fields you want to appear at the service appointment list header. you can select up to 6 fields.	appointment list columns (listenspalten für termine): verwenden sie das feldset appointment list columns (listenspalten für termine), um zu konfigurieren, welche felder in der kopfzeile der serviceterminliste angezeigt werden sollen. sie können bis zu 6 felder auswählen.
access to object-specific reports	zugreifen auf objektspezifische berichte
click export now.	klicken sie auf jetzt exportieren.
to stop trending from lightning experience, go to the trending report and open the menu next to view trend and choose stop trending.	wechseln sie zum anhalten der trendaufzeichnung über lightning experience zum trendbericht, öffnen sie das menü neben trend anzeigen und wählen sie trendaufzeichnung anhalten aus.
goes to the designated page number in data repeaters and data tables. see adding pagination to data repeaters and data tables.	wechselt in datenrepeatern und datentabellen zu der angegebenen seitennummer. siehe hinzufügen von paginierung zu datenrepeatern und datentabellen.
bring your data into einstein discovery	importieren ihrer daten in einstein discovery
maps	karten
searchable fields: file	durchsuchbare felder: datei
# of open opportunities	anzahl offener opportunities
if your admin has created custom opportunity team fields, you can include them in this report.	falls ihr administrator benutzerdefinierte opportunity-team-felder erstellt hat, können sie diese in den bericht aufnehmen.
shows how deals move through stages of the sales process and if deals are moving smoothly. also reveals bottlenecks and exposes at-risk opportunities.	zeigt an, wie sich die geschäfte durch die einzelnen phasen des vertriebsprozesses bewegen und ob geschäftsabschlüsse problemlos verlaufen. deckt außerdem engpässe und gefährdete opportunities auf.
now you can easily incorporate after-tax earnings into fiscal quarter planning!	nun können sie den gewinn nach steuern ganz einfach in ihre geschäftsquartalsplanung integrieren.
total number of criteria nodes in a process	gesamtanzahl der kriterienknoten in einem prozess
modify connected app settings and permissions to control how it behaves. for example, you can change refresh token and session-level policies for all connected apps running in your org. you can change oauth policies for oauth-enabled connected apps. and you can customize the behavior of a connected app with apex.	ändern sie die einstellungen und berechtigungen für verbundene anwendungen, um deren verhaltensweise zu steuern. so können sie beispielsweise die richtlinien für aktualisierungstoken und sitzungsebene für alle in ihrer organisation ausgeführten verbundenen anwendungen ändern. sie können die oauth-richtlinien für oauth-fähige verbundene anwendungen ändern. zusätzlich haben sie die möglichkeit, das verhalten einer verbundenen anwendung mit apex anzupassen.
main page and mobile event records, if viewed in current session	hauptseite und mobile ereignisdatensätze, sofern in aktueller sitzung angesehen
if you don’t have a forecast type enabled, click add a forecast type. to enable another forecast type, click add another forecast type.	wenn noch keine prognosetypen aktiviert sind, klicken sie auf prognosetyp hinzufügen. um einen weiteren prognosetyp zu aktivieren, klicken sie auf weiteren prognosetyp hinzufügen.
delete a custom object	benutzerdefiniertes objekt
chatter: what’s different or not available in lightning experience	chatter: was in lightning experience anders oder nicht verfügbar ist
for approval process instances that were pending during the summer ’14 rollout, all process instance fields are automatically populated, with two exceptions: completed date and last actor: full name are populated only after the approval process instance is complete.	bei genehmigungsprozessinstanzen, die während der einführung der version summer '14 ausstehend waren, werden alle prozessinstanz-felder automatisch ausgefüllt. es gibt jedoch zwei ausnahmen: abgeschlossen am und letzter akteur: vollständiger name werden erst ausgefüllt, nachdem die genehmigungsprozessinstanz abgeschlossen wurde.
service contracts available in: professional, enterprise, performance, unlimited, and developer editions with the service cloud	serviceverträge verfügbar in: professional, enterprise, performance, unlimited und developer edition mit service cloud
from setup, enter lightning for gmail in the quick find box, and select lightning for gmail and sync . expand let users asccess salesforce records from gmail. click new under email application panes.	geben sie unter "setup" im feld schnellsuche den text lightning für outlook ein und wählen sie dann lightning für outlook und sync aus. erweitern sie benutzern den zugriff auf salesforce-datensätze über gmail erlauben. klicken sie bei den e-mail-anwendungsfenstern auf neu.
if a custom object has a master-detail relationship with accounts, the custom object’s activities roll up to the account and cause the account’s last activity date to be updated. for custom objects related to other types of records, the activities do not roll up.	wenn ein benutzerdefiniertes objekt eine master-detail-beziehung zu accounts aufweist, werden die aktivitäten des benutzerdefinierten objekts dem account zugeordnet und führen zur aktualisierung des datums unterletzte aktivität. bei benutzerdefinierten objekten mit bezug zu anderen typen von datensätzen werden die aktivitäten nicht zugeordnet.
in salesforce classic, select einstein discovery from the app menu at the upper right.	wählen sie in salesforce classic aus dem anwendungsmenü oben rechts die option einstein discovery aus.
if a user-initiated password reset request can’t be processed, users receive an email telling them why. password reset requests fail if a user’s account is temporarily or permanently locked due to too many unsuccessful login attempts or if the request was sent outside approved login hours, ip ranges, or network locations.	wenn eine vom benutzer initiierte kennwortzurücksetzungsanforderung nicht verarbeitet werden kann, erhält er eine e-mail, in der die gründe dafür angegeben sind. kennwortzurücksetzungsanforderungen schlagen fehl, wenn der account eines benutzers temporär oder dauerhaft gesperrt ist, da zu viele fehlerhafte anmeldeversuche vorlagen oder wenn die anforderung außerhalb der genehmigten anmeldezeiten, ip-bereiche oder netzwerkstandorte gesendet wurde.
to detect upserts of quote lines that will later be rolled back, you can examine sbqq__incomplete__c field, which is set to true during the rolled-back transaction.	zum ermitteln von einfügungen/aktualisierungen von angebotsbelegposten, die später per rollback zurückgesetzt werden, können sie das feld "sbqq__incomplete__c" überprüfen, das während der rollback-transaktion auf true festgelegt ist.
the .dr suffix is automatically added to usernames when a user record is copied to the secondary organization. however, if a new user is created within the secondary organization, the person creating the user must add .dr to the username. if .dr is not added, the user record won’t be copied to the primary organization. the organization sync log in the secondary organization lists username errors.	das suffix .dr wird beim kopieren eines benutzerdatensatzes zur sekundären organisation automatisch an die benutzernamen angefügt. wenn ein neuer benutzer jedoch in der sekundären organisation erstellt wird, muss die person, die den benutzer erstellt, .dr manuell an den benutzernamen anfügen. wenn .dr nicht hinzugefügt wird, wird der benutzerdatensatz nicht zur primären organisation kopiert. das organisationssynchronisierungsprotokoll in der sekundären organisation führt benutzernamensfehler auf.
group files	gruppendateien
best for...	am besten für ...
once you’ve selected the templates and removed the items that don’t apply to your patient, review your work and you’re done!	nachdem sie die vorlagen ausgewählt und die elemente, die nicht auf ihren patienten zutreffen, entfernt haben, überprüfen sie ihre arbeit noch einmal, und dann ist es geschafft!
create custom object help with a pdf file	erstellen von hilfe für benutzerdefinierte objekte mit pdf-dateien
entitlements + service contracts	ansprüche und serviceverträge
signup request	registrierungsanforderung
the url can’t contain anchors, such as /siteprefix/page.html#target.	die url darf keine anker enthalten, wie z. b. /siteprefix/page.html#target.
changes to which contact is associated with the connection	änderungen des der verbindung zugeordneten kontakts
receive a like	ein "gefällt mir" erhalten
start here. summarizes key performance indicators (kpis) from your service cloud, including open cases in the backlog, agent average time to close, and first contact resolution rate. helps you gauge health of the business and surface issues requiring further investigation. also, provides springboard to all other dashboards.	beginnen sie hier. fasst wichtige leistungsindikatoren (kpis) aus ihrer service cloud zusammen, darunter offene kundenvorgänge, die sich im rückstand befinden, durchschnittliche abschlusszeiten der agenten und die anzahl der problemlösungen bei erstkontakt. dies hilft ihnen dabei, den zustand des unternehmens zu bewerten und probleme zu identifizieren, die einer weiteren prüfung bedürfen. dient zudem als sprungbrett zu allen anderen dashboards.
before replying, check the email address that displays in the to field of your email. valid addresses contain tokens, or long character strings, both before and after the @ symbol, such as #url1#. some email applications automatically use the from address from the original email, #url2#, which is not a valid address for receiving replies. if you see this shortened address in the to field of your reply email, replace it with the valid reply-to address in the email header information. for example, in an application such as ibm® lotus notes®:	bevor sie die antwort senden, überprüfen sie die e-mail-adresse, die im feld an ihrer e-mail angezeigt wird. gültige adressen umfassen token oder lange zeichenfolgen, sowohl vor als auch nach dem @-symbol (z. b. #url1#). bei einigen e-mail-anwendungen wird automatisch die von-adresse aus der ursprünglichen e-mail verwendet (#url2#), bei der es sich nicht um eine gültige adresse für das empfangen von antworten handelt. wenn im feld an ihrer antwort-e-mail diese verkürzte adresse angezeigt wird, ersetzen sie sie durch die gültige adresse für antworten, die sie in der kopfzeile der e-mail finden. gehen sie in einer anwendung wie ibm® lotus notes® beispielsweise wie folgt vor:
there are two possible options for the api access setting:	für die api-zugriffseinstellung stehen zwei optionen zur verfügung:
style individually	stil individuell festgelegt
make the following tabs visible to your users:	sorgen sie dafür, dass die folgenden registerkarten für ihre benutzer sichtbar sind:
total closed amount for all opportunities in report.	gesamtbetrag (geschlossen) für alle opportunities im bericht.
use the following table to determine when a territory will be assigned to an opportunity created by a standard user.	anhand der folgenden tabelle können sie ermitteln, unter welchen umständen eine region einer von einem standardbenutzer erstellten opportunity zugeordnet wird.
choose one or more categories for your idea.	wählen sie eine oder mehrere kategorien für ihre ideen aus.
for provider type, select salesforce.	wählen sie salesforce als anbietertyp aus.
people you can add to chat my favorites	personen, die sie zu "meine favoriten" hinzufügen können
files shared with the entire community	für die gesamte community freigegebene dateien
email service addresses	e-mail-service-adressen
id identifies each node in the salesforce role hierarchy.	"id" bestimmt jeden knoten in der salesforce-rollenhierarchie.
profile settings include the following for components in the package:	zu den profileinstellungen gehören die folgenden einstellungen für die komponenten im paket:
use condition operators to verify the value of a selected resource. conditions are used in decision elements and wait elements.	mithilfe von operatoren in bedingungen können sie den wert einer ausgewählten ressource überprüfen. bedingungen werden in entscheidungs- und warteelementen verwendet.
processes (process builder)	prozesse (prozessgenerator)
you want to route email sent from salesforce through your company’s mail service. this is helpful for compliance.	sie möchten eine e-mail, die über salesforce gesendet wurde, über den e-mail-service ihres unternehmens weiterleiten. dies ist zur einhaltung von richtlinien hilfreich.
on the overview tab, either:	führen sie auf der registerkarte "übersicht" einen der folgenden schritte durch:
in this case, the developer has unknowingly bypassed the anti-csrf controls by developing their own action method. the id parameter is read and used in the code. the anti-csrf token is never read or validated. an attacker web page might have sent the user to this page using a csrf attack and provided any value they wish for the id parameter.	in diesem fall hat der entwickler unwissentlich die anti-csrf-steuerelemente umgangen, indem er seine eigene aktionsmethode entwickelte. der parameter id wird gelesen und im code verwendet. das anti-csrf-token wird nie gelesen oder validiert. eine angreifer-webseite kann den benutzer mithilfe eines csrf-angriffs an diese seite gesendet und jeden beliebigen wert als id-parameter angegeben haben.
if you hide the header but want to expose the help text, you can do so with a lightning component.	wenn die kopfzeile ausgeblendet, der hilfetext jedoch angezeigt werden soll, können sie dies mit einer lightning-komponente erreichen.
in the half-life (in days) field, enter a number of days.	geben sie im feld halbwertszeit (in tagen) die anzahl der tage ein.
the first day the service contract is in effect.*	der erste tag, an dem der servicevertrag gültig ist.*
create site pages	erstellen von site-seiten
an apex trigger for questions named chatter_answers_question_escalation_to_case_trigger so that questions with specified attributes are automatically escalated to cases.	ein apex-auslöser für fragen mit der bezeichnung chatter_answers_question_escalation_to_case_trigger, damit fragen mit bestimmten attributen automatisch zu kundenvorgängen eskaliert werden.
records directly related to the target object	direkt mit dem zielobjekt in beziehung stehende datensätze
click save.	klicken sie auf speichern.
if your company already has a form in which prospects enter their contact information, consider creating a jump page where prospects respond to a campaign. with a little extra html code, redirect that information to salesforce to create leads.	wenn ihr unternehmen bereits über ein formular verfügt, in dem potenzielle kunden ihre kontaktinformationen eingeben, empfiehlt es sich, eine sprungseite zu erstellen, auf der potenzielle kunden auf eine kampagne antworten. mit etwas zusätzlichem html-code können sie diese informationen an salesforce weiterleiten, um leads zu erstellen.
click the question title to view a list of all replies for the question.	klicken sie auf den titel der frage, um eine liste aller antworten auf die frage anzuzeigen.
delegate two-factor authentication management tasks	delegieren von verwaltungsaufgaben bei zwei-faktoren-authentifizierung
establish a dmarc policy for your domain, and then use salesforce's dkim signing feature to sign outgoing mail. with this combination, your mail passes a dmarc check, even though it does not pass spf.	erstellen sie eine dmarc-richtlinie für ihre domäne und verwenden sie dann die dkim-signierfunktion in salesforce, um ausgehende e-mails zu signieren. bei dieser kombination wird ihre e-mail einer dmarc-prüfung unterzogen, auch wenn sie nicht von spf geprüft wird.
customize your invitation’s animations to determine how the animation will appear to customers.	passen sie die animationen ihrer einladung an, um festzulegen, wie die animation den kunden angezeigt wird.
the requesttoken contains an invalid oauth_callback parameter. value must be either oob or a valid url that uses https.	das requesttoken enthält einen ungültigen oauth_callback-parameter. der wert muss entweder oob lauten oder ein gültiger url sein, bei dem https verwendet wird.
view and edit assigned apps in profiles	anzeigen und bearbeiten von zugewiesenen anwendungen in profilen
for a layout in the case page layouts section, click edit.	wenn sie ein layout im abschnitt "seitenlayouts für kundenvorgänge" verwenden, klicken sie auf bearbeiten.
assign permissions to your users according to their roles regarding encryption and key management. some users need permission to select data for encryption, while other users require combinations of permissions to work with certificates or tenant secrets. you can enable these permissions for user profiles just like you would any other user permission.	weisen sie ihren benutzern gemäß ihren rollen berechtigungen hinsichtlich der verschlüsselung und schlüsselverwaltung zu. einige benutzer benötigen berechtigungen zum auswählen von daten für die verschlüsselung. demgegenüber benötigen andere benutzer kombinationen aus berechtigungen, um zertifikate oder mandantengeheimnisse verwenden zu können. sie können diese berechtigungen für benutzerprofile wie jede andere benutzerberechtigung aktivieren.
this option directs data loader to truncate data for certain field types when the bulk api is disabled. a load operation fails for the row if a value is specified that is too large for the field when the use bulk api option is selected.	mit dieser option werden daten bestimmter feldtypen bei deaktivierter bulk-api in data loader abgeschnitten. wenn die option bulk-api verwenden ausgewählt ist, schlägt der ladevorgang für die zeile fehl, wenn ein zu großer wert für das feld angegeben wird.
$profile merge fields are only available in editions that can create custom profiles.	$profile-briefvorlagenfelder sind nur in den editionen verfügbar, in denen benutzerdefinierte profile erstellt werden können.
start the wizard.	den assistenten starten
changing status	ändern des status
wait for the maintenance to end. once the secondary org is available again, the primary organization resumes sending record updates.	warten sie, bis die wartung abgeschlossen ist. wenn die sekundäre organisation wieder verfügbar ist, wird das senden von datensatzaktualisierungen von der primären organisation fortgesetzt.
adding inline images to a post isn’t available.	das hinzufügen von inline-bildern zu einem feedpost ist nicht verfügbar.
column	spalte
when a multi-select choice field uses a dynamic record choice, only values from the last record that the user selects are stored in the flow variables. if multiple multi-select choice fields on one screen use the same dynamic record choice, the variable assignments obey the first of those fields.	wenn ein auswahlfeld für mehrfachauswahl eine dynamische datensatzauswahl verwendet, werden in den flow-variablen nur werte aus dem letzten, vom benutzer ausgewählten datensatz gespeichert. wenn mehrere auswahlfelder für mehrfachauswahl auf demselben bildschirm dieselbe dynamische datensatzauswahl verwenden, werden die ersten dieser felder von den variablenzuweisungen beachtet.
to use a community login-based license, you first purchase a specific number of logins to be used every month. external users associated with that license consume one login each time they log into a community. however, logging in multiple times during the same day still only consumes one login and, once logged in, switching between communities doesn’t consume extra logins. this type of login is referred to as a daily unique login.	zum verwenden einer anmeldebasierten community-lizenz müssen sie zunächst eine spezifische anzahl an anmeldungen erwerben, die pro monat verwendet werden können. einer solchen lizenz zugeordnete externe benutzer verbrauchen bei jeder anmeldung bei der community eine anmeldung. die mehrfache anmeldung am selben tag verbraucht jedoch weiterhin nur eine anmeldung. zudem werden keine zusätzlichen anmeldungen verbraucht, wenn zwischen communities gewechselt wird, nachdem der benutzer angemeldet wurde. dieser anmeldetyp wird als eine tägliche eindeutige anmeldung bezeichnet.
groups recently archived 2.0	groups recently archived 2.0
here’s what happens if you don’t have access to certain elements of an asset hierarchy:	folgendes geschieht, wenn sie nicht über zugriff auf bestimmte elemente einer vermögenswert-hierarchie verfügen:
checkpoints tab	registerkarte "checkpoints" (prüfpunkte)
data storage minimum per org	datenspeicher-mindestkapazität pro organisation
to show an opportunities or quotes related list on contracts, use page layouts.	verwenden sie seitenlayouts zum anzeigen der themenliste "opportunities" oder "angebote" für verträge.
determines what information about a user shows in the leaderboard. options include:	bestimmt, welche informationen über einen benutzer in der bestenliste angezeigt werden. zu den optionen zählen:
the audience must be #url1# or #url2#.	der wert für audience muss #url1# oder #url2# lauten.
the contract line item’s parent line item, if it has one.	der übergeordnete belegposten des vertragsbelegpostens, sofern vorhanden.
renewal opportunity record type id	datensatztyp-id verlängerungs-opport.
the app launcher displays a tile for every app and published community (both tabs + visualforce and lightning communities). unlike in lightning experience, the all items area and appexchange link aren't available. users see only the apps and communities that they’re authorized to see according to their profile or permission sets.	in app launcher wird eine kachel für jede anwendung und veröffentlichte community angezeigt ("registerkarten und visualforce" und lightning-communities). der bereich "alle elemente" und der appexchange-link sind anders als in lightning experience jedoch nicht verfügbar. benutzern werden nur die anwendungen und communities angezeigt, zu deren anzeige sie gemäß ihrem profil und entsprechend ihren berechtigungssätzen autorisiert sind.
partner community	partner-community
to create a single record with field values from regular variables and other flow resources, such as constants, formulas, and screen fields, use record create.	um einen einzelnen datensatz mit feldwerten aus regulären variablen und anderen flow-ressourcen wie konstanten, formeln und bildschirmfeldern zu erstellen, verwenden sie datensatzerstellung.
store the downloaded style sheet in a publicly accessible location and enter the url for your style sheet in the style sheet url field.	speichern sie die heruntergeladene formatvorlage an einem öffentlich zugänglichen ort und geben sie im feld formatvorlagen-url die url für ihre formatvorlage ein.
make sure that securities data is entered before you enter holdings for investment accounts. otherwise, you can’t specify that the security is part of a holding.	vergewissern sie sich, dass daten zu sicherheiten eingegeben wurden, bevor sie anteile für anlagekonten eingeben. andernfalls können sie nicht angeben, dass es sich bei der sicherheit um einen teil eines anteils handelt.
products transferred	übertragene produkte
consider these limitations when using salesforce sites with communities:	beachten sie diese einschränkungen beim verwenden von salesforce-sites für communities:
deletes a product family. quotas and adjustments are purged for the deleted product family.	produktfamilie löschen. quoten und anpassungen für die gelöschte produktfamilie werden gelöscht.
add members to a household	hinzufügen von mitgliedern zu einem haushalt
embed analytics dashboards in lightning pages	einbetten von analytics-dashboards auf lightning-seiten
click delete to delete the page.	klicken sie zum löschen der seite auf löschen.
when selected, hides the field from the form or page. for example, you may want to hide a required field from your site visitors, or set the default value for a field that you don’t want users to see or edit. when you hide a field on the page canvas, you can still access it from the page structure pane.	wenn diese option ausgewählt ist, ist das feld im formular bzw. auf der seite ausgeblendet. beispielsweise können sie ein pflichtfeld für die besucher ihrer websites ausblenden oder den standardwert für ein feld festlegen, das die benutzer nicht anzeigen oder bearbeiten können sollen. wenn sie ein feld im zeichenbereich der seite ausblenden, können sie weiterhin über das fenster "seitenstruktur" darauf zugreifen.
assigned resource (assignedresource)	zugewiesene ressource (assignedresource)
the api names for criteria nodes and actions are created in the background. when you create or update processes, you might see error messages that reference those names to help you identify specifically where the problem occurred.	die api-namen für kriterienknoten und aktionen werden im hintergrund erstellt. wenn sie prozesse erstellen oder aktualisieren, werden möglicherweise fehlermeldungen angezeigt, die diese namen referenzieren, sodass sie genau feststellen können, wo das problem aufgetreten ist.
as you add more flows, actions, and apex classes to your organization, it becomes more challenging to find a specific item in the palette. you can, however, search in the palette to quickly find the right element for your flow.	je mehr flows, aktionen und apex-klassen sie zu ihrer organisation hinzufügen, desto schwieriger wird es, ein bestimmtes element in der palette zu finden. sie können die palette jedoch durchsuchen, um schnell das richtige element für ihren flow zu finden.
click the metrics tab.	klicken sie auf die registerkarte "zielvorgaben".
choose a template section and then click include document.	wählen sie einen vorlagenabschnitt aus und klicken sie dann auf dokument einbeziehen.
to allow appending of disjoint schema, set to true.	um das anhängen eines zusammenhanglosen schemas zuzulassen, legen sie "true" fest.
when you add the update opportunity action to the opportunity name field in the opportunities dataset, you specify which dimension shows the action menu. you also specify the dataset field that contains the salesforce record id. the id identifies both the salesforce object and the record.	wenn sie die aktion "opportunity aktualisieren" zum feld "opportunity-name" im opportunities-datenset hinzufügen, geben sie an, in welcher dimension das aktionsmenü angezeigt wird. zudem geben sie das datenset-feld an, das die id des salesforce-datensatzes enthält. die id identifiziert sowohl das salesforce-objekt als auch den salesforce-datensatz.
if you add a canvas app to any section other than the mobile cards section, the canvas app appears in the page layout in the full salesforce site or in the record detail page in the salesforce mobile app.	wenn sie eine zeichenbereichsanwendung einem anderen abschnitt als dem abschnitt "mobile karten" hinzufügen, wird die zeichenbereichsanwendung im seitenlayout auf der vollständigen salesforce-site oder auf der datensatz-detailseite in der mobilen salesforce-anwendung angezeigt.
salesforce settings	salesforce-einstellungen
campaign sharing rules are available in enterprise, performance, unlimited, and developer editions and in professional edition for an additional cost	kampagnenfreigaberegeln sind in der enterprise, performance, unlimited und developer edition sowie in der professional edition gegen aufpreis verfügbar.
